cod opc  Mode ind siz isz osx osz ois oax oay
00  BRK  imp   N   N   N   N   N   N   N   N
10  BPL  rel   Y   Y   Y   N   N   N   N   N
20  JSR  abs   Y   N   N   Y   N   N   N   N
30  BMI  rel   Y   Y   Y   N   N   N   N   N
40  RTI  imp   N   N   N   Y   N   N   N   N
50  BVC  rel   Y   Y   Y   N   N   N   N   N
60  RTS  imp   N   N   N   Y   N   N   N   N
70  BVS  rel   Y   Y   Y   N   N   N   N   N
80  BRA  rel   Y   N   N   N   N   N   N   N
90  BCC  rel   Y   Y   Y   N   N   N   N   N
A0  LDY  imm   N   Y   N   N   N   N   N   N
B0  BCS  rel   Y   Y   Y   N   N   N   N   N
C0  CPY  imm   N   Y   N   N   N   N   N   N
D0  BNE  rel   Y   Y   Y   N   N   N   N   N
E0  CPX  imm   N   Y   N   Y   Y   N   N   N
F0  BEQ  rel   Y   Y   Y   N   N   N   N   N
01  ORA  zpXI  Y   Y   Y   Y   Y   Y   Y   Y
11  ORA  zpIY  Y   Y   Y   N   N   N   Y   Y
21  AND  zpXI  Y   Y   Y   Y   Y   Y   Y   Y
31  AND  zpIY  Y   Y   Y   N   N   N   Y   Y
41  EOR  zpXI  Y   Y   Y   Y   Y   Y   Y   Y
51  EOR  zpIY  Y   Y   Y   N   N   N   Y   Y
61  ADC  zpXI  Y   Y   Y   Y   Y   Y   Y   Y
71  ADC  zpIY  Y   Y   Y   N   N   N   Y   Y
81  STA  zpXI  Y   Y   Y   Y   Y   Y   N   N
91  STA  zpIY  Y   Y   Y   N   N   N   N   N
A1  LDA  zpXI  Y   Y   Y   Y   Y   Y   N   N
B1  LDA  zpIY  Y   Y   Y   N   N   N   N   N
C1  CMP  zpXI  Y   Y   Y   Y   Y   Y   N   N
D1  CMP  zpIY  Y   Y   Y   N   N   N   N   N
E1  SBC  zpXI  Y   Y   Y   Y   Y   Y   Y   Y
F1  SBC  zpIY  Y   Y   Y   N   N   N   Y   Y
02  COP  imm   N   N   N   N   N   N   N   N
12  ORA  zpI   Y   Y   Y   N   N   N   Y   Y
22  RSV1 imp   N   N   N   N   N   N   N   N
32  AND  zpI   Y   Y   Y   N   N   N   Y   Y
42  RSV2 imp   N   N   N   N   N   N   N   N
52  EOR  zpI   Y   Y   Y   N   N   N   Y   Y
62  RSV3 imp   N   N   N   N   N   N   N   N
72  ADC  zpI   Y   Y   Y   N   N   N   Y   Y
82  RSV4 imp   N   N   N   N   N   N   N   N
92  STA  zpI   Y   Y   Y   N   N   N   N   N
A2  LDX  imm   N   Y   N   Y   Y   N   N   N
B2  LDA  zpI   Y   Y   Y   N   N   N   N   N
C2  ADJ  imm   N   Y   N   Y   Y   N   N   N
D2  CMP  zpI   Y   Y   Y   N   N   N   N   N
E2  PSH  imm   N   Y   N   Y   Y   N   N   N
F2  SBC  zpI   Y   Y   Y   N   N   N   Y   Y
03  ORA  ipp   Y   Y   Y   N   N   N   Y   Y
13  ASL  ipp   Y   Y   Y   N   N   N   Y   Y
23  AND  ipp   Y   Y   Y   N   N   N   Y   Y
33  ROL  ipp   Y   Y   Y   N   N   N   Y   Y
43  EOR  ipp   Y   Y   Y   N   N   N   Y   Y
53  LSR  ipp   Y   Y   Y   N   N   N   Y   Y
63  ADC  ipp   Y   Y   Y   N   N   N   Y   Y
73  ROR  ipp   Y   Y   Y   N   N   N   Y   Y
83  STA  ipp   Y   Y   Y   N   N   N   Y   Y
93  TSB  ipp   Y   Y   Y   N   N   N   Y   Y
A3  LDA  ipp   Y   Y   Y   N   N   N   Y   Y
B3  TRB  ipp   Y   Y   Y   N   N   N   Y   Y
C3  CMP  ipp   Y   Y   Y   N   N   N   Y   Y
D3  DEC  ipp   Y   Y   Y   N   N   N   Y   Y
E3  SBC  ipp   Y   Y   Y   N   N   N   Y   Y
F3  INC  ipp   Y   Y   Y   N   N   N   Y   Y
04  TSB  zp    Y   Y   Y   N   N   N   Y   Y
